Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
GEEL,"Selwood, Joel",MID,11.58,3.21,11.42,0.25,0.17,0,4.71,2.25,1.17,
GEEL,"Smith, Isaac",MID,15.96,6.92,6.96,0.63,0.38,0,1.58,0.33,0.42,
GEEL,"Menegola, Sam",MID,14.09,5.43,9.09,0.52,0.52,0,2.26,0.48,1.04,
GEEL,"Tuohy, Zach",DEF,15.52,5.33,7.38,0.52,0.38,0,1.24,0.43,0.81,
GEEL,"Stewart, Tom",DEF,18.9,8.9,5.1,0,0.15,0,1.05,0.8,0.65,
GEEL,"Parfitt, Brandan",MID,9.78,1.39,9,0.35,0.3,0,5.57,1.52,1.26,
GEEL,"Atkins, Tom",DEF,9.41,3.82,7.68,0,0.05,0,3.41,0.41,1.23,
GEEL,"Dangerfield, Patrick",MID,13.25,4.44,9.94,0.5,0.44,0,3.31,1.75,1.38,
GEEL,"Bews, Jed",DEF,8.76,4.64,5,0.12,0.08,0,2,0.68,0.6,
GEEL,"Hawkins, Tom",FWD,8.6,5.16,5.08,2.48,1.48,3.68,2,0.56,1.4,
GEEL,"Henry, Jack",DEF,9.04,6.25,4.96,0.29,0.08,0.42,1.79,0.71,0.33,
GEEL,"Higgins, Shaun",FWD,8.72,4.44,9.83,0.22,0.67,0,2.72,0.61,0.72,
GEEL,"Blicavs, Mark",DEF,6.83,3.92,6.92,0.21,0,11.79,2.79,1.33,0.96,
GEEL,"Duncan, Mitch",FWD,15.38,7.54,8.85,0.62,0.15,0,2.54,1.23,0.38,
GEEL,"Close, Brad",FWD,6,2.77,7.23,0.68,0.45,0,3.27,1.14,0.36,
GEEL,"Stanley, Rhys",RUC,8,3.89,6.79,0.42,0.26,20.58,1.74,1.37,1.11,
GEEL,"Kolodjashnij, Jake",DEF,7.5,5.45,4.73,0.05,0,0,1.23,0.32,0.68,
GEEL,"Dahlhaus, Luke",FWD,4.9,1.95,7.14,0.33,0.71,0,3.76,0.86,0.9,
GEEL,"Miers, Gryan",FWD,8.67,3.87,6.8,0.8,0.47,0,1.53,0.8,0.27,
GEEL,"Narkle, Quinton",MID,5.38,2.31,8.06,0.25,0.25,0,1.56,0.19,0.38,
GEEL,"Rohan, Gary",FWD,7,3.57,3.19,1.52,0.86,0,1.95,1.05,0.67,
GEEL,"OConnor, Mark",MID,7.93,3.43,6.79,0.07,0,0,2.86,0.79,0.93,
GEEL,"Cameron, Jeremy",FWD,7.87,3.8,3.8,2.6,1.07,0,1.07,1.13,0.87,
GEEL,"Guthrie, Zach",FWD,9.23,3.92,3.08,0,0.08,0,2.46,0.54,0.31,
GEEL,"Holmes, Max",FWD,4.5,2,5.33,0.08,0.58,0,2.67,0.25,0.33,
GEEL,"Ratugolea, Esava",RUC,4.2,2.13,3.47,0.73,0.33,6.2,2,1.2,0.87,
GEEL,"Clark, Jordan",DEF,5.55,2.36,4.73,0.27,0.18,0,2,0.18,0.64,
GEEL,"Simpson, Sam",MID,7,3.25,6.25,0.5,0.5,0,2,1,0.75,
GEEL,"Constable, Charlie",MID,7,4.33,5.33,0.33,0,0,1,0.33,0.33,
GEEL,"Kreuger, Nathan",RUC,5.5,3.5,2,0,0,0,4,1,1,
GEEL,"De Koning, Sam",RUC,7,3,1,0,2,1,0,0,2,
GCS,"Miller, Touk",MID,15.9,4.52,15.9,0.38,0.38,0.05,7.1,1.67,1.24,
GCS,"Swallow, David",MID,12.29,5.05,9.62,0.29,0.33,0,4.71,0.76,1.14,
GCS,"Anderson, Noah",MID,13.2,4.15,9.45,0,0.3,0,3,0.55,0.95,
GCS,"Lukosius, Jack",DEF,17.36,7.82,2.73,0.14,0.5,0,1.45,0.59,0.91,
