Team,Playerÿÿ,Pos. ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,Disp. Ave.,AFLF
ESSE,"Bryan, Nick",,1,5,3,7,,,18,3,1,,4,2,1,1,5,7,,,2,,,12,66
ESSE,"Reid, Zach",,1,5,1,5,,,,5,2,,,3,3,,7,3,,,2,,,10,51
ESSE,"Ambrose, Patrick",,1,1,,4,,1,,2,,,,,1,,4,1,,,,,,5,21
,,,,4851,2125,3583,291,200,695,1327,873,1209,793,1278,419,438,2982,5327,257,274,1077,170,202,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
,"Brayshaw, Andrew",,20,265,101,303,8,5,,93,48,80,73,64,25,23,180,395,,3,38,10,6,28.4,104.25
,"Mundy, David",,22,248,68,305,15,7,,87,27,97,117,71,18,21,244,328,3,2,41,1,11,25.13636364,89
,"Serong, Caleb",,22,279,64,224,8,10,,72,28,91,106,71,23,12,204,300,2,8,13,,9,22.86363636,82.27272727
,"Cerra, Adam",,18,250,93,165,5,10,,47,29,90,64,59,21,12,144,276,1,7,24,2,15,23.05555556,87.33333333
,"Aish, James",,22,236,92,178,1,8,,49,55,65,36,56,13,13,112,296,5,3,44,2,5,18.81818182,69.27272727
,"Ryan, Luke",,19,332,136,82,,,,34,151,16,5,45,14,19,87,236,11,,74,11,1,21.78947368,87.42105263
,"Fyfe, Nat",,15,154,58,207,6,21,,61,16,48,86,73,18,36,201,167,16,14,33,11,9,24.06666667,84.06666667
,"Darcy, Sean",,21,156,90,193,12,12,599,64,14,58,98,73,22,38,230,129,39,25,48,1,4,16.61904762,93.85714286
,"Acres, Blake",,18,184,67,138,2,,10,45,34,57,29,51,12,18,107,215,2,4,26,7,5,17.88888889,66.05555556
,"Wilson, Nathan",,18,233,74,71,,4,,18,104,31,10,35,12,13,76,178,3,1,57,11,3,16.88888889,61.77777778
,"Colyer, Travis",,22,195,75,83,15,19,,44,11,63,12,45,6,9,97,183,3,8,14,13,16,12.63636364,56.36363636
,"Tucker, Darcy",,16,152,64,120,,2,,29,23,29,13,41,10,12,63,217,1,,21,,4,17,61.25
,"Walters, Michael",,16,147,63,76,14,11,,33,8,32,19,35,21,14,81,146,5,12,14,5,9,13.9375,61.75
,"Schultz, Lachie",,20,148,80,72,22,17,,54,3,42,4,46,20,18,88,129,6,23,19,,8,11,57.95
,"Logue, Griffin",,16,113,76,71,,,,22,38,7,,31,13,12,71,114,14,,93,2,,11.5,48.375
,"Taberner, Matthew",,16,135,89,42,37,17,,10,1,29,1,45,16,17,74,106,24,44,14,,9,11.0625,62.5
,"Lobb, Rory",,13,108,73,60,20,19,54,15,8,26,14,40,13,5,81,89,26,28,33,,6,12.92307692,70.30769231
,"Crowden, Mitch",,16,70,34,97,5,7,,29,2,34,12,11,8,4,64,108,1,6,11,,10,10.4375,40.9375
,"Henry, Liam",,17,106,37,47,10,9,,18,7,31,10,34,13,10,74,86,7,11,13,10,6,9,38.05882353
,"Switkowski, Sam",,12,79,36,67,9,9,,32,4,31,12,18,7,4,69,81,5,8,20,4,5,12.16666667,55.41666667
,"Cox, Brennan",,12,87,56,55,,,1,11,33,7,1,21,4,12,56,90,16,,112,1,1,11.83333333,46
,"Hughes, Ethan",,8,75,29,64,,1,,12,18,11,7,26,6,5,48,100,,1,25,1,1,17.375,60
,"Conca, Reece",,10,68,35,67,,,,18,26,6,2,23,5,10,40,90,1,,22,2,,13.5,49
,"Young, Hayden",,8,85,45,42,,,,19,28,13,5,21,7,3,36,88,5,,19,3,1,15.875,68.5
,"Watson, Tobe",,11,73,51,51,1,,,12,19,7,2,17,5,4,29,94,2,1,33,,,11.27272727,47.36363636
,"Blakely, Connor",,13,50,30,66,1,2,,11,6,15,13,9,8,5,45,75,,4,6,,4,8.923076923,32.07692308
,"Treacy, Josh",,15,70,51,45,13,10,7,31,2,20,2,34,11,14,62,56,15,18,13,,1,7.666666667,42.73333333
,"Walker, Brandon",,10,72,36,32,,3,,17,11,18,1,19,1,4,27,79,3,2,22,8,2,10.4,44.8
,"Pearce, Alex",,10,56,27,40,,1,1,10,25,7,4,20,12,5,47,49,4,,56,,2,9.6,36.8
,"Duman, Taylin",,6,49,28,42,,,,12,14,9,,10,1,3,21,65,2,,27,,,15.16666667,59.16666667
,"Chapman, Heath",,6,50,27,35,1,,,10,16,5,,15,3,6,26,61,3,2,15,,,14.16666667,55.33333333
,"Meek, Lloyd",,9,21,12,58,1,2,129,14,1,5,21,31,7,14,61,27,6,2,23,,,8.777777778,41.44444444
,"Bewley, Brett",,6,43,16,32,2,,,12,6,5,3,13,5,3,21,52,,1,7,,,12.5,49.5
,"Frederick, Michael",,7,52,35,16,5,11,,7,1,19,4,6,5,1,26,44,3,6,3,2,3,9.714285714,52
,"Banfield, Bailey",,6,29,12,27,4,2,,14,6,7,7,12,3,6,27,32,,4,10,,3,9.333333333,40.66666667
,"Giro, Stefan",,4,31,13,12,1,,,3,7,5,2,5,2,1,9,34,,,2,,3,10.75,43.25
,"Western, Joel",,4,14,5,11,,,,6,1,4,,8,1,1,8,16,,1,2,2,1,6.25,25.25
,"Hamling, Joel",,1,3,,7,,,2,1,1,,,1,3,,6,4,,,7,,,10,32
,"Sturt, Sam",,1,3,2,2,1,1,,,,2,,1,,,3,2,1,1,,,,5,26
,,,,4521,1980,3305,219,220,803,1076,832,1122,795,1236,394,407,2945,4837,235,250,1054,109,163,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
,"Guthrie, Cameron",,23,342,129,325,4,8,,92,35,84,115,55,19,16,224,433,3,4,25,6,12,29,105.826087
,"Selwood, Joel",,24,278,77,274,6,4,,113,24,89,127,82,54,28,259,310,3,5,40,3,21,23,86.45833333
,"Smith, Isaac",,24,383,166,167,15,9,,38,91,98,25,69,8,10,93,412,5,9,27,26,11,22.91666667,92.08333333
,"Menegola, Sam",,23,324,125,209,12,12,,52,51,84,58,74,11,24,185,348,5,12,38,1,14,23.17391304,86.7826087
,"Tuohy, Zach",,21,326,112,155,11,8,,26,95,55,27,52,9,17,114,304,3,5,18,21,7,22.9047619,83.80952381
,"Stewart, Tom",,20,378,178,102,,3,,21,122,35,6,45,16,13,115,298,24,,73,8,4,24,96.8
,"Parfitt, Brandan",,23,225,32,207,8,7,,128,16,72,74,74,35,29,180,254,,7,22,3,11,18.7826087,73.91304348
,"Atkins, Tom",,22,207,84,169,,1,,75,42,33,27,63,9,27,147,247,5,,34,1,4,17.09090909,65.45454545
,"Dangerfield, Patrick",,16,212,71,159,8,7,,53,20,85,97,78,28,22,208,169,18,12,32,6,15,23.1875,87.25
,"Bews, Jed",,25,219,116,125,3,2,,50,40,37,17,58,17,15,101,249,4,2,32,2,4,13.76,57.88
,"Hawkins, Tom",,25,215,129,127,62,37,92,50,2,37,25,76,14,35,172,182,36,83,39,,20,13.68,75.84
,"Henry, Jack",,24,217,150,119,7,2,10,43,52,31,6,26,17,8,127,206,30,5,131,2,4,14,64.91666667
,"Higgins, Shaun",,18,157,80,177,4,12,,49,12,50,34,39,11,13,89,251,,10,13,4,12,18.55555556,70.5
,"Blicavs, Mark",,24,164,94,166,5,,283,67,37,38,58,53,32,23,165,177,15,5,135,,2,13.75,68.75
,"Henderson, Lachie",,21,230,146,92,3,2,,26,86,29,5,46,20,19,95,196,16,5,103,2,3,15.33333333,66.61904762
,"Duncan, Mitch",,13,200,98,115,8,2,,33,38,43,34,31,16,5,72,228,,6,13,3,5,24.23076923,100.5384615
,"Close, Brad",,22,132,61,159,15,10,,72,7,44,18,29,25,8,116,184,5,14,25,1,10,13.22727273,58.45454545
,"Stanley, Rhys",,19,152,74,129,8,5,391,33,12,50,61,50,26,21,130,147,17,14,80,,3,14.78947368,77.63157895
,"Kolodjashnij, Jake",,22,165,120,104,1,,,27,37,26,1,37,7,15,76,203,17,1,100,3,1,12.22727273,51.77272727
,"Dahlhaus, Luke",,21,103,41,150,7,15,,79,4,32,16,44,18,19,104,153,3,10,25,1,12,12.04761905,50.76190476
,"Miers, Gryan",,15,130,58,102,12,7,,23,5,36,10,30,12,4,69,170,1,8,11,1,7,15.46666667,62.6
,"Narkle, Quinton",,16,86,37,129,4,4,,25,10,31,40,27,3,6,87,137,,6,6,,3,13.4375,46.25
,"Rohan, Gary",,21,147,75,67,32,18,,41,8,39,4,30,22,14,93,120,22,29,32,5,8,10.19047619,54.95238095
,"OConnor, Mark",,14,111,48,95,1,,,40,17,21,33,30,11,13,81,130,2,3,29,2,3,14.71428571,57.5
,"Cameron, Jeremy",,15,118,57,57,39,16,,16,,34,4,21,17,13,70,113,11,30,25,1,9,11.66666667,62.06666667
,"Guthrie, Zach",,13,120,51,40,,1,,32,16,21,2,25,7,4,48,112,4,,28,2,,12.30769231,55.15384615
,"Holmes, Max",,12,54,24,64,1,7,,32,6,21,17,14,3,4,57,65,1,1,10,,3,9.833333333,41.16666667
,"Ratugolea, Esava",,15,63,32,52,11,5,93,30,1,21,15,27,18,13,87,34,18,19,26,,7,7.666666667,43.46666667
,"Clark, Jordan",,11,61,26,52,3,2,,22,10,15,6,19,2,7,30,78,,3,12,6,2,10.27272727,41.27272727
,"Simpson, Sam",,4,28,13,25,2,2,,8,3,6,9,8,4,3,19,34,,2,5,,2,13.25,53.5
,"Constable, Charlie",,3,21,13,16,1,,,3,1,6,6,3,1,1,9,28,,,,,1,12.33333333,50
,"Kreuger, Nathan",,2,11,7,4,,,,8,3,,,2,2,2,5,12,,,11,,,7.5,45
,"De Koning, Sam",,1,7,3,1,,2,1,,,2,1,4,,2,3,5,1,1,2,,,8,29
,"Evans, Francis",,2,8,4,,2,1,,1,,2,,,,,1,6,,2,1,,,4,26.5
,"Jenkins, Josh",,1,5,2,3,,2,3,2,,3,1,4,1,2,5,4,1,2,,,1,8,35
,,,,5599,2533,3937,295,213,873,1410,903,1310,979,1325,495,455,3436,5999,270,315,1203,110,221,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
,"Miller, Touk",,21,334,95,334,8,8,1,149,51,91,120,95,35,26,263,416,2,2,31,3,8,31.80952381,122.1428571
,"Swallow, David",,21,258,106,202,6,7,,99,40,57,56,67,16,24,181,288,9,6,33,2,5,21.9047619,89.47619048
,"Anderson, Noah",,20,264,83,189,,6,,60,41,58,83,67,11,19,177,290,1,2,26,17,4,22.65,80.95
,"Lukosius, Jack",,22,382,172,60,3,11,,32,128,88,7,72,13,20,81,300,12,8,44,10,9,20.09090909,86
,"Ellis, Brandon",,18,273,130,150,5,2,,47,47,48,31,57,11,17,111,317,2,3,26,15,7,23.5,93.83333333
,"Bowes, Jack",,19,307,97,97,1,2,,38,90,40,15,54,10,15,97,238,6,2,54,14,2,21.26315789,80.57894737
,"Powell, Wil",,22,259,115,132,1,1,,54,101,24,12,51,21,14,119,227,12,,88,6,2,17.77272727,72.18181818
,"Ballard, Charlie",,21,227,140,61,,,,25,50,13,4,46,20,16,99,188,20,,116,1,,13.71428571,61.66666667
,"Markov, Oleg",,17,193,107,90,1,4,,38,52,31,5,32,6,5,78,199,6,,38,58,3,16.64705882,72.52941176
,"Lemmens, Sean",,21,196,76,72,,,,44,63,27,6,61,12,31,85,175,13,,36,1,,12.76190476,50.23809524
,"Greenwood, Hugh",,15,153,25,110,6,6,8,130,20,41,94,33,16,7,181,78,6,5,24,,10,17.53333333,87.93333333
,"Ainsworth, Ben",,17,187,90,74,12,18,,35,9,50,11,49,14,14,80,182,4,17,9,1,14,15.35294118,69.47058824
,"Weller, Lachie",,13,137,71,104,7,3,,44,28,43,23,38,5,8,67,176,,5,10,17,5,18.53846154,79.53846154
,"Fiorini, Brayden",,10,133,52,101,2,2,,47,24,30,41,40,7,6,90,150,,1,21,,3,23.4,94.8
,"Collins, Sam",,19,152,119,78,,,,32,62,10,2,38,18,20,92,145,24,,168,2,,12.10526316,55.52631579
,"Sexton, Alex",,21,167,87,50,21,14,,23,5,60,4,38,14,7,64,152,2,11,13,11,7,10.33333333,51.76190476
,"Rankine, Izak",,18,120,51,92,16,11,,46,10,45,26,57,16,28,116,108,2,6,28,7,10,11.77777778,51.11111111
,"Holman, Nick",,16,111,67,94,10,5,,72,8,35,13,32,15,15,87,120,9,12,18,,8,12.8125,65.3125
,"Flanders, Sam",,16,96,46,93,4,5,,62,5,40,18,27,22,8,71,114,,5,7,,6,11.8125,55.4375
,"King, Ben",,22,126,90,54,47,25,4,17,1,31,2,33,18,11,90,96,24,48,27,,7,8.181818182,50.90909091
,"Burgess, Chris",,19,112,67,62,10,10,177,42,7,31,33,29,16,12,109,72,25,19,48,,4,9.157894737,55.57894737
,"Rowell, Matt",,12,66,22,103,2,,,49,7,19,44,28,24,13,97,74,,,13,,3,14.08333333,55.25
,"Sharp, Jeremy",,9,113,53,52,2,3,,7,24,22,9,19,6,4,36,129,3,3,8,5,,18.33333333,71
,"Macpherson, Darcy",,11,98,48,60,1,6,,43,5,24,13,29,9,10,61,92,4,3,14,2,2,14.36363636,65.54545455
,"Farrar, Jy",,10,90,56,55,,,,14,20,7,,20,1,5,36,111,3,,30,9,1,14.5,59
,"Corbett, Josh",,16,101,78,41,23,11,4,12,,27,,29,13,12,61,89,20,30,17,,4,8.875,49.8125
,"Atkins, Rory",,8,47,16,41,2,2,,9,5,19,9,10,,3,25,66,,,5,,4,11,39
,"Graham, Caleb",,12,52,42,33,,1,82,8,10,4,11,25,3,10,32,57,3,,71,,,7.083333333,36.33333333
,"Smith, Zac",,9,27,10,54,3,,191,23,3,8,29,26,14,15,65,25,2,2,36,,1,9,54.33333333
,"Brodie, Will",,5,25,7,39,,1,,8,1,6,12,13,3,3,31,33,1,,4,,,12.8,40.2
,"Harbrow, Jarrod",,4,50,27,10,,1,,7,8,3,,8,2,3,13,44,2,,4,2,,15,68.25
,"Day, Sam",,6,26,23,27,3,4,23,17,1,9,2,13,4,5,28,26,6,6,16,,1,8.833333333,50.5
,"Witts, Jarrod",,3,24,9,17,,1,87,8,3,5,12,7,6,1,24,13,4,1,7,,,13.66666667,85.33333333
,"Budarick, Connor",,2,19,11,9,,,,4,5,3,,4,1,3,8,20,,,3,,1,14,58
,"Jeffrey, Joel",,4,19,6,6,2,4,,4,,6,,11,1,2,11,13,1,5,5,,,6.25,28.5
,"Townsend, Jacob",,2,15,8,9,3,,3,5,1,6,2,13,2,6,12,12,2,,3,,2,12,56
,"Rosas, Malcolm",,4,14,5,5,,4,,6,1,7,2,5,1,2,8,12,,1,2,,,4.75,22.5
,"Davies, Alex",,1,5,2,11,,2,,6,,3,2,4,,2,14,3,1,1,1,,,16,63
,,,,4978,2309,2871,201,180,580,1366,936,1071,753,1280,406,422,2900,4850,231,204,1104,183,133,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
,"Taranto, Tim",,24,372,118,265,13,13,,128,40,103,103,114,26,23,237,373,5,9,28,1,8,26.54166667,106.6666667
,"Hopper, Jacob",,23,311,72,296,10,7,,88,42,99,145,105,29,39,276,337,1,4,20,9,10,26.39130435,90.08695652
,"Kelly, Josh",,23,333,82,268,16,15,,128,51,108,92,69,23,17,222,391,1,5,41,10,5,26.13043478,103.3043478
,"Ward, Callan",,24,278,90,267,15,5,5,71,39,73,104,51,34,24,227,336,7,6,32,3,9,22.70833333,82.66666667
,"Cumming, Isaac",,24,372,131,153,1,4,,56,138,40,16,62,12,18,133,280,20,,67,9,2,21.875,83.625
,"Whitfield, Lachie",,17,283,107,142,3,1,,41,65,45,25,57,15,11,97,297,2,4,30,16,9,25,95.23529412
,"Perryman, Harry",,18,268,92,132,4,5,,39,88,40,26,47,12,6,122,256,10,4,36,,4,22.22222222,84.61111111
,"Ash, Lachie",,23,265,111,127,1,1,,63,64,46,18,45,6,10,92,270,3,,36,19,2,17.04347826,70.30434783
,"Haynes, Nick",,21,253,156,120,1,1,,17,75,27,6,54,14,13,98,275,15,1,90,9,1,17.76190476,72.23809524
,"Green, Tom",,18,139,55,221,7,6,1,53,16,41,76,53,19,15,179,189,3,7,19,4,4,20,69.94444444
,"Greene, Toby",,18,232,78,77,45,41,2,39,3,75,21,68,33,29,155,162,23,35,19,4,16,17.16666667,83.27777778
,"Himmelberg, Harry",,24,194,108,107,36,19,5,46,5,51,5,69,22,21,148,166,28,35,57,6,26,12.54166667,62.625
,"Idun, Connor",,23,173,124,114,,,,41,53,19,7,27,15,11,81,212,3,1,95,1,1,12.47826087,55
,"Taylor, Sam",,19,164,116,109,,,,39,70,10,4,37,22,8,134,149,26,,149,1,,14.36842105,63.78947368
,"Lloyd, Daniel",,16,140,68,63,20,8,,45,9,49,7,46,8,19,66,136,4,14,19,1,6,12.6875,63.0625
,"OHalloran, Xavier",,17,124,42,56,5,3,,22,17,38,14,31,10,8,62,116,1,3,23,,6,10.58823529,42.17647059
,"Daniels, Brent",,13,91,22,86,2,4,,35,6,40,20,32,12,4,74,100,1,3,17,8,12,13.61538462,51.30769231
,"Buckley, Jack",,15,112,68,57,,2,1,34,35,12,3,33,7,17,70,107,9,1,76,,1,11.26666667,49.93333333
,"de Boer, Matt",,11,66,34,94,2,2,,40,10,31,15,22,5,7,65,93,5,1,13,,8,14.54545455,58.72727273
,"Hill, Bobby",,17,113,33,41,14,12,,48,7,40,5,24,10,4,47,102,2,12,18,7,17,9.058823529,47.41176471
,"Flynn, Matt",,12,55,46,87,5,2,222,30,11,15,25,23,16,9,100,52,25,11,39,,2,11.83333333,70
,"Mumford, Shane",,14,44,19,98,4,,364,68,14,15,64,37,27,26,103,48,5,3,59,,5,10.14285714,71
,"Finlayson, Jeremy",,13,106,40,35,23,9,24,15,2,29,15,28,14,11,62,76,6,16,32,,8,10.84615385,55.38461538
,"Kennedy, Adam",,9,72,35,59,1,1,,20,15,18,12,12,5,5,45,89,4,2,16,1,1,14.55555556,57.33333333
,"Reid, Sam",,15,64,25,58,4,4,,35,18,14,3,33,7,15,51,64,3,3,24,,5,8.133333333,34.2
,"Hogan, Jesse",,9,74,57,41,20,9,,11,,15,,26,6,7,55,63,19,31,15,,7,12.77777778,70.33333333
,"Davis, Phil",,11,64,47,47,,,,16,20,5,,24,10,14,43,69,9,,46,1,1,10.09090909,41.72727273
,"Coniglio, Stephen",,7,61,14,42,1,4,,27,7,18,25,15,7,3,51,58,,3,11,,1,14.71428571,60.71428571
,"Bruhn, Tanner",,13,56,16,45,4,4,,33,5,24,11,13,8,5,48,53,,1,12,3,5,7.769230769,35.30769231
,"Sproule, Zach",,10,55,27,31,11,5,14,26,2,12,5,28,9,15,41,51,5,6,14,,3,8.6,46.1
,"Riccardi, Jake",,9,44,24,37,2,1,2,3,3,7,2,10,2,1,23,57,2,3,5,,2,9,33.77777778
,"Keeffe, Lachlan",,8,57,37,22,1,,19,16,13,7,,14,4,5,29,45,8,2,60,1,,9.875,50.5
,"Buntine, Matt",,8,55,21,23,1,1,,17,19,5,2,24,6,9,23,58,,,26,,,9.75,41
,"Briggs, Kieren",,5,23,9,26,2,,85,22,5,7,15,13,8,6,41,13,5,3,13,,,9.8,64.6
,"Peatling, James",,4,27,15,15,,,,6,11,3,1,9,4,4,13,31,,,6,1,,10.5,43
,"Stein, Jake",,6,29,20,11,,,,7,9,,,13,2,6,17,27,4,1,45,,,6.666666667,30.16666667
,"Stone, Conor",,5,21,8,14,3,1,,7,2,6,,3,1,,10,24,,1,5,,1,7,32.6
,"Shipley, Nick",,4,8,6,6,,,,2,1,3,,2,,1,,15,,,,,,3.5,14.75
,"Brown, Callum",,2,4,2,2,2,,,1,,2,,1,,1,4,2,1,1,,,,3,17.5
,,,,5202,2175,3494,279,190,744,1435,990,1192,892,1374,470,447,3344,5242,265,232,1313,115,188,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
,"Mitchell, Tom",,22,321,98,433,8,5,,105,49,91,104,81,24,29,254,504,1,5,14,7,10,34.27272727,115.1363636
,"OMeara, Jaeger",,18,232,74,241,5,9,,91,38,79,111,70,16,31,214,267,3,4,29,3,6,26.27777778,95.88888889
,"Shiels, Liam",,21,244,93,200,5,4,,99,21,80,45,70,16,31,125,312,3,6,25,2,9,21.14285714,84
,"Worpel, James",,20,232,54,194,10,8,,82,21,76,83,81,15,27,169,249,1,1,28,4,8,21.3,78.8
,"Hardwick, Blake",,20,312,108,106,,2,,41,120,27,12,37,22,10,101,271,6,,74,1,2,20.9,81.5
,"Scrimshaw, Jack",,20,249,127,163,4,2,,29,70,34,17,36,8,3,100,291,14,,42,11,8,20.6,79.75
,"Phillips, Tom",,22,241,93,165,13,5,,47,32,43,32,49,23,6,127,279,6,4,13,3,5,18.45454545,73.09090909
,"Howe, Daniel",,20,249,109,124,8,5,,40,38,41,24,60,18,17,110,266,6,5,34,3,5,18.65,75.1
,"Wingard, Chad",,16,199,58,158,12,11,,61,12,76,51,40,19,8,135,225,4,9,22,5,19,22.3125,88.0625
,"Frost, Sam",,22,194,112,139,,,3,44,80,13,5,78,7,31,137,184,28,,101,6,,15.13636364,58.59090909
,"Jiath, Changkuoth",,16,172,93,152,,2,,26,51,36,14,50,18,22,96,240,6,,70,11,3,20.25,72.3125
,"Moore, Dylan",,20,160,76,147,27,11,,58,7,44,10,33,27,9,111,197,5,18,18,2,13,15.35,70.35
,"Impey, Jarman",,13,181,70,107,2,,,33,47,27,11,24,16,4,65,221,7,1,32,21,2,22.15384615,85.76923077
,"McEvoy, Ben",,22,135,111,140,12,8,370,78,18,27,44,46,28,14,147,142,35,19,97,1,8,12.5,80.27272727
,"Breust, Luke",,19,121,47,117,33,11,,62,2,49,15,36,12,13,121,131,4,24,16,2,10,12.52631579,61.47368421
,"Morrison, Harry",,15,124,67,107,7,2,,34,22,25,20,35,7,14,64,166,3,3,11,,5,15.4,62.13333333
,"OBrien, Tim",,19,147,90,72,12,5,12,32,28,30,4,40,18,16,85,127,25,14,63,,7,11.52631579,54.84210526
,"Burgoyne, Shaun",,18,133,46,84,1,1,,31,57,24,7,29,5,5,54,137,2,1,40,3,1,12.05555556,45.88888889
,"Hartigan, Kyle",,19,106,66,95,,,2,16,44,8,4,50,15,28,78,121,12,,123,,1,10.57894737,37
,"Cousins, James",,10,101,27,86,2,5,,37,8,40,19,27,8,6,69,120,3,3,6,8,7,18.7,71.1
,"Bramble, Lachlan",,10,119,44,64,1,3,,20,32,38,4,17,7,3,36,130,2,2,16,21,7,18.3,70.4
,"Ceglar, Jonathon",,12,67,53,113,2,2,249,26,13,23,48,26,10,16,112,80,19,5,51,,1,15,76.25
,"Koschitzke, Jacob",,20,98,77,65,27,19,1,37,1,19,,29,13,7,78,86,23,42,51,2,6,8.15,48.85
,"Lewis, Mitch",,14,91,67,51,22,9,29,28,2,22,4,23,13,10,75,70,25,23,25,1,5,10.14285714,60.07142857
,"Hanrahan, Oliver",,13,71,31,70,8,6,,13,1,18,1,17,7,4,49,86,1,8,7,1,3,10.84615385,42.07692308
,"Nash, Conor",,8,51,26,59,2,1,,23,5,19,24,21,3,10,42,66,1,2,10,1,1,13.75,53.375
,"Day, Will",,5,55,25,44,,,,8,18,10,4,17,5,7,28,65,2,,12,3,,19.8,68.8
,"Brockman, Tyler",,11,52,27,46,10,4,,23,1,13,6,26,2,6,37,59,3,12,12,3,6,8.909090909,42.63636364
,"Greaves, Damon",,7,48,16,26,1,,,12,15,9,2,10,6,2,13,56,,,11,,,10.57142857,42.57142857
,"Newcombe, Jai",,7,32,17,30,1,1,,39,5,10,12,14,4,8,22,42,,1,4,,,8.857142857,50
,"Hartley, Michael",,3,39,14,17,1,1,,5,15,2,2,7,1,3,13,32,1,,13,,,18.66666667,70.66666667
,"Reeves, Ned",,5,19,8,29,1,,131,20,6,4,11,6,5,5,31,19,4,1,31,,1,9.6,69.2
,"Grainger-Barras, Denver",,5,25,17,12,,,,11,8,2,2,7,3,2,11,27,1,,25,,1,7.4,38.2
,"Jeka, Emerson",,4,13,7,13,2,2,,4,,6,,2,1,,11,21,1,3,5,,1,6.5,29.25
,"Maginness, Finn",,2,5,1,10,,,,5,,5,5,3,1,1,11,6,,,4,,1,7.5,28
,"Downie, Connor",,2,6,2,6,,,,,2,1,,,,,1,11,,,,1,,6,18
,"Gunston, Jack",,1,6,1,1,,,,2,2,,1,1,,,1,5,,1,,,,7,31
,"Morris, Josh",,5,4,1,2,,1,,5,,1,,2,3,,5,1,,,1,1,,1.2,8.6
,,,,4654,2053,3688,239,145,797,1327,891,1072,758,1200,406,408,2938,5312,257,217,1136,127,162,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
,"Oliver, Clayton",,25,358,89,431,11,18,,136,47,130,187,129,43,46,435,359,5,6,29,4,18,31.56,109.44
,"Petracca, Christian",,25,409,126,321,29,19,,103,32,171,158,125,23,29,349,381,8,23,20,3,19,29.2,111.52
