Player,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Fogarty, Lachie",139,57,107,6,6,,62,16,11,
"Dow, Paddy",95,28,147,4,2,,39,9,13,
"Kennedy, Matthew",138,60,101,6,2,,54,11,10,
"Stocker, Liam",163,58,75,2,1,,37,15,10,
"Jones, Liam",178,105,41,,1,,19,24,16,
"Plowman, Lachie",160,85,59,1,,,20,14,13,
"Silvagni, Jack",130,70,70,9,13,17,38,14,12,
"Petrevski-Seton, Sam",134,56,64,1,3,,26,7,7,
"Murphy, Marc",115,47,76,8,4,,24,8,4,
"McKay, Harry",154,113,31,58,33,6,27,27,18,
"Betts, Eddie",121,42,59,27,16,,31,8,14,
"Cottrell, Matthew",118,37,47,3,2,,31,5,9,
"Fisher, Zac",85,23,74,4,8,,24,5,9,
"Gibbons, Michael",98,39,58,8,5,,27,6,6,
"Pittonet, Marc",67,26,80,5,5,379,28,17,24,
"Martin, Jack",94,61,46,8,6,,26,9,11,
"Setterfield, Will",74,35,50,1,6,,17,6,10,
"Williamson, Tom",83,43,41,2,3,,16,2,8,
"De Koning, Tom",81,40,42,7,4,219,27,16,15,
"Owies, Matthew",69,43,46,15,17,,38,10,7,
"Casboult, Levi",77,47,34,8,5,79,25,11,17,
"OBrien, Lochie",49,20,31,1,3,,9,4,1,
"McGovern, Mitch",42,24,14,6,4,,13,7,,
"Cuningham, David",26,9,28,3,2,,6,2,3,
"Curnow, Charlie",35,16,14,2,5,,6,1,7,
"Parks, Luke",30,12,15,,,,12,5,5,
"Honey, Josh",24,13,12,6,3,,6,2,1,
"Kemp, Brodie",14,8,5,,,,3,,1,
"McDonald, Oscar",8,3,1,2,1,,2,3,1,
"Durdin, Corey",4,2,4,1,,,4,1,,
,4836,2098,2837,250,201,705,1175,447,427,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Crisp, Jack",341,148,253,2,5,,80,16,29,
"Sidebottom, Steele",272,114,228,8,5,,62,14,24,
"Maynard, Brayden",335,121,126,1,,,57,16,26,
"de Goey, Jordan",251,108,169,23,23,,39,12,18,
"Pendlebury, Scott",197,67,220,4,4,,69,13,10,
"Noble, John",260,114,149,2,,,57,23,14,
"Mayne, Chris",225,128,179,,,,44,12,9,
"Adams, Taylor",195,46,187,2,2,,78,30,16,
"Grundy, Brodie",185,72,197,12,6,647,84,31,43,
"Quaynor, Isaac",221,95,140,1,2,,45,18,13,
"Daicos, Josh",173,48,149,9,9,,53,19,14,
"Hoskin-Elliott, Will",213,124,101,13,2,,45,6,14,
"Madgen, Jack",159,88,145,1,2,,19,10,6,
"Roughead, Jordan",190,137,87,,,9,35,12,14,
"Thomas, Josh",148,66,118,12,9,,51,19,7,
"Mihocek, Brody",178,123,50,34,34,,35,16,19,
"Moore, Darcy",153,107,68,4,1,,12,9,16,
"Cameron, Darcy",147,99,72,22,9,121,32,20,15,
"Elliott, Jamie",127,61,73,25,8,,32,10,15,
"Brown, Callum",66,41,107,3,6,,44,8,5,
"Poulter, Caleb",107,55,58,2,5,,22,9,6,
"Bianco, Trent",100,53,47,7,5,,21,5,4,
"Murphy, Nathan",88,50,56,1,3,,16,16,6,
"Howe, Jeremy",98,46,41,1,,,19,6,5,
"Macrae, Finlay",45,26,69,1,,,9,2,3,
"Ruscoe, Trey",73,27,33,2,,,15,3,7,
"Brown, Tyler",35,14,60,,,,11,1,4,
"Henry, Oliver",61,44,30,7,8,,9,4,1,
"Sier, Brayden",32,16,54,1,,,19,3,,
"McCreery, Beau",52,24,30,11,6,,43,3,13,
"Cox, Mason",41,26,25,8,8,23,7,11,5,
"Keane, Mark",31,23,25,,1,,1,,7,
"Wilson, Tom",25,7,23,,,,7,1,5,
"Ginnivan, Jack",38,18,7,6,3,,4,6,3,
"Rantall, Jay",10,10,19,,,,3,1,2,
"Greenwood, Levi",16,3,9,,,,7,,4,
"Lynch, Max",9,4,14,,,41,5,1,2,
"Kelly, Will",6,4,5,,,,,2,,
"Tohill, Anton",4,3,5,,,,,1,1,
,4907,2360,3428,225,166,841,1191,389,405,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Merrett, Zach",361,97,364,4,7,,112,41,26,
"Parish, Darcy",341,96,360,10,8,,90,13,10,
"Hind, Nick",365,114,127,4,2,,45,19,19,
"Heppell, Dyson",276,132,194,2,1,,47,15,12,
"Ridley, Jordan",340,131,124,,,,29,16,13,
"Redman, Mason",245,101,142,6,2,,44,11,17,
"Langford, Kyle",202,98,152,13,3,2,57,11,18,
"Snelling, Will",155,74,199,12,7,,99,21,9,
"McGrath, Andrew",171,43,167,2,4,,66,17,11,
"Laverde, Jayden",202,134,116,1,,,35,17,25,
"Stringer, Jake",210,55,102,41,18,,76,30,23,
"Smith, Devon",155,68,128,16,19,,78,11,23,
"Cox, Nik",152,81,107,9,9,12,47,16,23,
"Wright, Peter",146,90,100,29,14,208,37,31,23,
"Perkins, Archie",116,58,122,9,14,,42,13,13,
"Guelfi, Matt",124,74,112,6,4,,54,11,19,
"Ham, Brayden",118,57,109,5,10,,30,5,9,
"Stewart, James",136,89,77,,,,19,7,22,
"Hooker, Cale",106,65,100,33,24,10,27,12,18,
"McDonald-Tipungwuti, Anthony",129,49,72,34,14,,56,16,18,
"Cutler, Tom",113,51,65,1,4,,16,5,2,
"Francis, Aaron",99,70,70,2,6,1,17,15,12,
"Shiel, Dylan",74,16,81,3,4,,24,3,8,
"Waterman, Alec",82,43,60,17,8,,28,8,6,
"Draper, Sam",85,31,46,2,5,316,23,16,24,
"Jones, Harry",77,57,40,20,6,4,21,7,6,
"Durham, Sam",47,31,52,1,2,,9,4,1,
"Zaharakis, David",51,21,30,2,2,,16,,4,
"Phillips, Andrew",32,24,30,4,1,123,23,8,8,
"Clarke, Dylan",25,17,36,2,,,9,4,5,
"Gleeson, Martin",33,21,27,,,,11,2,2,
"Zerk-Thatcher, Brandon",36,22,24,,,1,11,3,6,
"Caldwell, Jye",27,8,19,,1,,16,6,,
"Cahill, Ned",9,3,13,1,,,3,,2,
"Bryan, Nick",5,3,7,,,18,3,1,1,
"Reid, Zach",5,1,5,,,,5,3,,
"Ambrose, Patrick",1,,4,,1,,2,1,,
,4851,2125,3583,291,200,695,1327,419,438,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Brayshaw, Andrew",265,101,303,8,5,,93,25,23,
"Mundy, David",248,68,305,15,7,,87,18,21,
"Serong, Caleb",279,64,224,8,10,,72,23,12,
"Cerra, Adam",250,93,165,5,10,,47,21,12,
"Aish, James",236,92,178,1,8,,49,13,13,
"Ryan, Luke",332,136,82,,,,34,14,19,
"Fyfe, Nat",154,58,207,6,21,,61,18,36,
"Darcy, Sean",156,90,193,12,12,599,64,22,38,
"Acres, Blake",184,67,138,2,,10,45,12,18,
"Wilson, Nathan",233,74,71,,4,,18,12,13,
"Colyer, Travis",195,75,83,15,19,,44,6,9,
"Tucker, Darcy",152,64,120,,2,,29,10,12,
"Walters, Michael",147,63,76,14,11,,33,21,14,
"Schultz, Lachie",148,80,72,22,17,,54,20,18,
"Logue, Griffin",113,76,71,,,,22,13,12,
"Taberner, Matthew",135,89,42,37,17,,10,16,17,
"Lobb, Rory",108,73,60,20,19,54,15,13,5,
"Crowden, Mitch",70,34,97,5,7,,29,8,4,
"Henry, Liam",106,37,47,10,9,,18,13,10,
"Switkowski, Sam",79,36,67,9,9,,32,7,4,
"Cox, Brennan",87,56,55,,,1,11,4,12,
"Hughes, Ethan",75,29,64,,1,,12,6,5,
"Conca, Reece",68,35,67,,,,18,5,10,
"Young, Hayden",85,45,42,,,,19,7,3,
"Watson, Tobe",73,51,51,1,,,12,5,4,
"Blakely, Connor",50,30,66,1,2,,11,8,5,
"Treacy, Josh",70,51,45,13,10,7,31,11,14,
"Walker, Brandon",72,36,32,,3,,17,1,4,
"Pearce, Alex",56,27,40,,1,1,10,12,5,
"Duman, Taylin",49,28,42,,,,12,1,3,
"Chapman, Heath",50,27,35,1,,,10,3,6,
"Meek, Lloyd",21,12,58,1,2,129,14,7,14,
"Bewley, Brett",43,16,32,2,,,12,5,3,
"Frederick, Michael",52,35,16,5,11,,7,5,1,
"Banfield, Bailey",29,12,27,4,2,,14,3,6,
"Giro, Stefan",31,13,12,1,,,3,2,1,
"Western, Joel",14,5,11,,,,6,1,1,
"Hamling, Joel",3,,7,,,2,1,3,,
"Sturt, Sam",3,2,2,1,1,,,,,
,4521,1980,3305,219,220,803,1076,394,407,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Guthrie, Cameron",342,129,325,4,8,,92,19,16,
"Selwood, Joel",278,77,274,6,4,,113,54,28,
"Smith, Isaac",383,166,167,15,9,,38,8,10,
"Menegola, Sam",324,125,209,12,12,,52,11,24,
"Tuohy, Zach",326,112,155,11,8,,26,9,17,
"Stewart, Tom",378,178,102,,3,,21,16,13,
"Parfitt, Brandan",225,32,207,8,7,,128,35,29,
"Atkins, Tom",207,84,169,,1,,75,9,27,
"Dangerfield, Patrick",212,71,159,8,7,,53,28,22,
"Bews, Jed",219,116,125,3,2,,50,17,15,
"Hawkins, Tom",215,129,127,62,37,92,50,14,35,
"Henry, Jack",217,150,119,7,2,10,43,17,8,
"Higgins, Shaun",157,80,177,4,12,,49,11,13,
"Blicavs, Mark",164,94,166,5,,283,67,32,23,
"Henderson, Lachie",230,146,92,3,2,,26,20,19,
"Duncan, Mitch",200,98,115,8,2,,33,16,5,
"Close, Brad",132,61,159,15,10,,72,25,8,
"Stanley, Rhys",152,74,129,8,5,391,33,26,21,
"Kolodjashnij, Jake",165,120,104,1,,,27,7,15,
"Dahlhaus, Luke",103,41,150,7,15,,79,18,19,
"Miers, Gryan",130,58,102,12,7,,23,12,4,
"Narkle, Quinton",86,37,129,4,4,,25,3,6,
