Player,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Turner, Kayne",134,69,126,2,4,,59,35,15,
"Walker, Josh",153,114,103,3,1,15,22,10,9,
"Dumont, Trent",168,75,82,,,,26,5,6,
"Taylor, Curtis",154,79,96,7,5,,40,13,13,
"Zurhaar, Cameron",163,75,72,31,23,,58,19,27,
"Mahony, Jack",116,53,104,9,4,,61,14,13,
"Powell, Tom",107,47,110,4,2,,48,7,7,
"Scott, Bailey",111,52,106,8,5,,32,5,7,
"Larkey, Nick",123,84,87,42,15,30,27,32,12,
"McKay, Ben",99,95,111,,,,31,14,17,
"McDonald, Luke",114,57,75,,2,,28,2,10,
"Young, Lachie",108,58,60,,2,,23,13,16,
"Phillips, Will",71,31,81,3,4,,33,7,5,
"Tarrant, Robbie",104,67,41,,,,10,7,14,
"Anderson, Jed",65,22,67,4,1,,40,5,9,
"Bonar, Aiden",72,36,35,,,,16,4,8,
"Menadue, Connor",54,36,49,,,,9,6,2,
"Campbell, Tom",49,35,51,6,1,97,14,7,14,
"Lazzaro, Charlie",55,26,41,3,3,,21,6,3,
"Bosenavulagi, Atu",46,28,35,1,,,13,4,5,
"Polec, Jared",48,17,15,,2,,10,3,5,
"Xerri, Tristan",26,14,34,1,2,59,17,4,16,
"Garner, Taylor",36,21,18,7,1,,7,5,3,
"Ford, Eddie",24,21,14,3,3,,4,4,1,
"Corr, Aidan",19,9,13,,1,,5,1,1,
"Tyson, Dom",13,11,13,,,,3,1,2,
"Hayden, Kyron",14,8,7,,,,6,4,5,
"Spicer, Phoenix",3,1,4,,1,,,,,
"Comben, Charlie",3,2,3,1,,,1,,1,
,4690,2195,3145,210,154,856,1159,431,411,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Wines, Ollie",362,100,415,10,15,,105,33,19,
"Boak, Travis",305,67,335,8,18,,110,37,25,
"Amon, Karl",370,141,196,11,17,,98,16,23,
"Houston, Dan",313,110,168,7,6,,56,10,15,
"Byrne-Jones, Darcy",301,104,179,,2,,66,26,12,
"Burton, Ryan",320,133,113,,1,,61,14,23,
"Drew, Willem",177,52,247,4,4,,164,21,30,
"Aliir, Aliir",268,156,100,,1,5,37,25,20,
"Jonas, Tom",260,133,94,,,,37,21,19,
"Rozee, Connor",176,71,159,21,13,,60,25,14,
"Bergman, Miles",199,101,126,7,7,,42,16,5,
"Gray, Robbie",157,67,161,20,8,,48,16,14,
"Motlop, Steven",169,81,128,13,8,,47,13,11,
"Dixon, Charlie",178,97,117,48,24,104,50,39,27,
"Lycett, Scott",140,56,154,6,6,520,77,27,38,
"Bonner, Riley",206,67,73,2,1,,16,5,9,
"Ladhams, Peter",129,58,102,13,5,228,40,24,20,
"Butters, Zak",111,50,114,8,2,,42,12,12,
"Powell-Pepper, Sam",115,39,104,10,8,,61,13,18,
"Marshall, Todd",159,85,55,24,12,5,27,18,8,
"McKenzie, Trent",183,84,30,1,,,24,6,7,
"Georgiades, Mitch",134,93,76,32,17,,37,14,31,
"Duursma, Xavier",111,52,96,3,3,,29,13,9,
"Fantasia, Orazio",126,48,52,28,23,,30,10,6,
"Hartlett, Hamish",85,33,66,2,2,,22,8,11,
"Clurey, Tom",103,61,37,,,,12,5,8,
"Farrell, Kane",67,23,55,4,3,,24,1,11,
"Lienert, Jarrod",62,21,22,1,,,8,3,3,
"Jones, Lachie",44,22,37,1,,,9,4,5,
"Frederick, Martin",33,17,42,1,,,10,5,5,
"Woodcock, Boyd",40,25,33,4,3,,14,4,8,
"Mayes, Sam",35,17,35,5,3,,20,2,2,
"Rockliff, Tom",3,,8,,1,,,1,,
"Williams, Dylan",6,1,1,,,,3,,1,
"McEntee, Jed",,,1,,,,,,,
,5447,2265,3731,294,213,862,1486,487,469,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Short, Jayden",411,134,131,1,2,,39,17,8,
"Baker, Liam",238,88,208,7,8,,61,12,33,
"Graham, Jack",220,56,198,11,7,,122,21,27,
"Bolton, Shai",208,82,185,23,20,,55,13,26,
"Martin, Dustin",200,46,161,19,7,,36,9,12,
"Cotchin, Trent",206,53,147,2,,,57,17,13,
"Edwards, Shane",149,47,145,8,3,,36,6,13,
"Grimes, Dylan",159,118,127,,,,47,23,20,
"Pickett, Marlion",119,63,163,2,4,16,62,11,34,
"Houli, Bachar",159,77,116,1,,,40,8,5,
"Lambert, Kane",137,54,131,6,4,,40,8,13,
"Nankervis, Toby",114,49,153,1,5,360,57,22,28,
"McIntosh, Kamdyn",182,69,81,1,4,,41,13,19,
"Rioli, Daniel",120,54,127,9,6,,46,20,11,
"Castagna, Jason",120,85,126,17,13,,41,13,3,
"Riewoldt, Jack",187,107,53,51,29,,38,12,24,
"Astbury, David",136,93,97,,,15,23,14,11,
"Broad, Nathan",159,89,70,,,,17,7,5,
"Aarts, Jake",122,53,100,18,12,,53,20,27,
"Vlastuin, Nick",155,82,63,,1,,27,9,14,
"Prestia, Dion",93,29,107,1,3,,37,17,8,
"Lynch, Tom",130,87,69,35,33,24,28,17,24,
"Balta, Noah",129,65,54,2,1,14,18,7,10,
"Ross, Jack",77,43,82,2,,,22,5,5,
"Mansell, Rhyan",91,35,53,1,,,29,13,14,
"Collier-Dawkins, Riley",58,21,74,3,,,32,5,9,
"Stack, Sydney",60,36,57,2,1,,17,5,5,
"Caddy, Josh",68,36,45,2,5,,11,4,3,
"Chol, Mabior",59,31,41,7,4,123,25,8,8,
"Coleman-Jones, Callum",38,30,46,11,4,61,13,7,8,
"Parker, Matthew",47,18,32,3,3,,29,1,6,
"Dow, Thomson",29,16,37,,2,,5,1,2,
"Garthwaite, Ryan",25,11,25,,,,9,4,2,
"Naish, Patrick",27,9,22,2,,,10,3,1,
"Ralphsmith, Hugo",27,7,22,3,2,,5,1,2,
"Martyn, Will",14,6,12,,,,3,,4,
"Eggmolesse-Smith, Derek",6,1,3,,,,2,1,2,
"Rioli, Maurice",7,1,2,2,,,4,1,1,
"Miller, Ben",4,2,2,,,,,1,,
"Ryan, Samson",,,,,,1,,,1,
,4490,1983,3367,253,183,614,1237,376,461,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Steele, Jack",311,103,331,13,8,,185,43,32,
"Crouch, Brad",248,56,279,7,5,,109,23,24,
"Sinclair, Jack",281,102,162,3,2,,48,9,10,
"Hill, Bradley",279,86,155,3,1,,50,6,21,
"Ross, Sebastian",225,91,195,5,8,,61,12,12,
"Billings, Jack",218,113,143,14,14,,35,14,10,
"Wilkie, Callum",248,126,85,,1,,39,17,25,
"Howard, Dougal",256,102,68,,1,1,25,14,15,
"Webster, Jimmy",205,93,117,1,,,29,12,9,
"Membrey, Tim",227,151,85,34,26,12,22,18,10,
"Jones, Zak",163,49,141,4,2,,57,17,13,
"Dunstan, Luke",169,51,134,1,4,,59,18,19,
"Higgins, Jack",161,79,131,27,16,,42,20,12,
"Clark, Hunter",154,53,95,2,1,,40,8,16,
"Butler, Dan",170,43,78,18,17,,82,18,20,
"Byrnes, Ryan",131,76,116,6,1,,29,9,1,
"Coffield, Nick",159,89,69,1,1,,25,18,10,
"Marshall, Rowan",137,63,66,9,5,241,39,18,13,
"King, Max",126,90,67,38,30,11,16,18,14,
"Battle, Josh",113,61,73,3,7,2,46,13,11,
"McKenzie, Daniel",105,56,75,5,,,20,6,12,
"Highmore, Tom",97,66,75,,,,31,10,13,
"Bytel, Jack",70,18,79,2,1,,55,8,8,
"Long, Ben",94,52,49,2,9,,35,10,16,
"Ryder, Paddy",82,37,36,5,1,362,30,9,17,
"Lonie, Jack",68,23,40,4,6,,22,11,1,
"Kent, Dean",56,35,40,5,6,,22,3,7,
"Wood, Mason",51,30,41,7,2,,24,3,7,
"Connolly, Leo",56,22,27,1,1,,4,1,3,
"Gresham, Jade",42,12,21,1,,,6,,5,
"Hunter, Paul",18,5,29,2,,113,28,5,13,
"Joyce, Darragh",36,13,11,,,4,4,2,4,
"Sharman, Cooper",27,19,17,10,4,4,8,,1,
"Geary, Jarryn",22,15,18,1,1,,7,,4,
"Hannebery, Dan",18,4,22,,,,3,1,2,
"Carlisle, Jake",20,11,18,1,2,47,9,3,7,
"Clavarino, Oscar",20,14,16,,,1,8,2,6,
"McKernan, Shaun",24,8,12,2,1,44,7,2,9,
"Frawley, James",13,10,10,,,,2,,1,
,4900,2127,3226,237,184,842,1363,401,433,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Parker, Luke",298,87,343,15,8,,106,39,35,
"Lloyd, Jake",404,124,210,1,1,,40,14,18,
"Dawson, Jordan",354,126,159,9,7,,68,22,23,
"Kennedy, Josh",220,76,285,4,6,,100,19,13,
"Mills, Callum",256,107,239,6,1,,95,22,11,
"Florent, Oliver",273,93,163,9,6,,50,18,19,
"McInerney, Justin",229,113,150,7,2,1,23,21,19,
"Hewett, George",160,74,216,,,,71,12,15,
"Rampe, Dane",248,123,113,,1,,34,14,24,
"Hickey, Tom",193,60,154,10,7,506,45,25,38,
"Cunningham, Harry",229,108,113,,,,55,13,14,
"Heeney, Isaac",222,119,111,36,21,1,41,22,16,
"Papley, Tom",230,89,83,43,27,,34,21,22,
"McCartin, Tom",196,111,101,,,,23,17,16,
"Gulden, Errol",195,82,87,14,11,,52,24,14,
"Rowbottom, James",152,35,110,6,3,,105,12,14,
"Wicks, Sam",143,65,102,17,18,,89,17,24,
"Warner, Chad",135,31,81,8,5,,48,6,17,
"Blakey, Nick",138,65,75,3,6,12,28,7,6,
"Franklin, Lance",157,81,56,51,24,,46,24,34,
"Hayward, Will",134,81,74,28,15,,60,15,18,
"Fox, Robbie",95,40,87,,,1,28,5,7,
"Campbell, Braeden",71,26,41,1,2,,11,4,3,
"Reid, Sam",62,45,47,6,6,78,28,14,6,
"McLean, Hayden",67,53,35,11,6,30,23,5,5,
"Melican, Lewis",53,30,23,,,,5,5,3,
"Bell, James",38,24,37,2,2,,25,7,5,
"McDonald, Logan",38,22,21,9,5,,6,8,3,
"Stephens, Dylan",30,20,29,1,1,,8,1,8,
"Amartey, Joel",38,16,17,5,3,49,23,4,7,
"ORiordan, Colin",30,13,15,,,,6,3,,
"Sinclair, Callum",19,10,21,1,,99,11,6,3,
"Brand, Kaiden",22,10,16,,,,6,4,2,
"Clarke, Ryan",6,3,1,,,,1,,1,
"Taylor, Lewis",6,4,,,1,,1,,1,
"Ronke, Ben",2,1,3,,,,,,,
"Ling, Matt",,,,,,,,,,
,5143,2167,3418,303,195,777,1395,450,464,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Sheed, Dom",320,108,259,9,6,,51,27,26,
"Gaff, Andrew",343,140,234,3,1,,35,16,16,
"Kelly, Tim",245,62,209,6,8,,64,13,17,
"Redden, Jack",208,104,235,3,1,,71,20,13,
"Sheppard, Brad",220,129,127,,,,32,12,5,
"Naitanui, Nic",154,34,181,3,7,687,65,30,17,
"Hurn, Shannon",260,103,67,,,,24,9,5,
"Cripps, Jamie",205,82,109,26,26,,86,17,20,
"Rotham, Josh",232,161,73,,1,,18,13,17,
"Cole, Tom",203,105,98,,,,44,14,24,
"Darling, Jack",176,123,91,42,19,16,53,29,25,
"Duggan, Liam",188,94,77,,,,30,4,9,
"Yeo, Elliot",150,27,114,3,7,,63,20,20,
"McGovern, Jeremy",196,111,50,,,9,15,17,9,
"Nelson, Jackson",176,76,57,,1,,26,4,7,
"Barrass, Tom",168,117,53,,,1,10,14,6,
"Allen, Oscar",154,99,58,28,16,31,39,20,19,
"Witherden, Alex",166,59,34,1,,,18,4,12,
"Langdon, Zac",81,55,101,6,7,,35,6,14,
"Kennedy, Josh",131,89,47,41,21,2,21,14,16,
"Petruccelle, Jack",108,59,69,16,8,,27,5,13,
"Waterman, Jake",129,89,44,13,8,,27,12,7,
"Brander, Jarrod",108,53,60,5,6,,11,5,3,
"Shuey, Luke",104,23,56,,1,,30,18,7,
"Ryan, Liam",116,55,28,24,10,,21,11,9,
"Edwards, Harry",75,53,28,,,,20,6,6,
"Jones, Jamaine",64,21,37,11,3,,47,11,6,
"Edwards, Luke",57,26,43,,1,,10,5,4,
"ONeill, Xavier",47,16,37,1,1,,15,4,2,
"Foley, Luke",53,23,21,1,,,7,,3,
"Ah Chee, Brendon",29,12,39,5,2,,14,1,2,
"West, Connor",35,16,28,1,4,,13,4,7,
"Hutchings, Mark",23,9,15,,,,8,1,,
"Vardy, Nathan",18,13,20,5,,92,11,5,8,
"Williams, Bailey",23,15,12,3,3,50,8,1,7,
"Winder, Isiah",2,1,3,1,,,1,1,,
"Ainsworth, Brayden",,1,4,,,,,,,
,4967,2363,2818,257,168,888,1070,393,381,
,,,,,,,,,,
,,,,,,,,,,
Player  ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,
"Macrae, Jack",435,102,445,6,4,1,128,44,26,
"Bontempelli, Marcus",396,104,299,31,19,8,127,41,37,
"Daniel, Caleb",364,100,267,7,1,,58,18,12,
"Dale, Bailey",447,100,176,9,,,26,10,12,
"Smith, Bailey",354,97,259,17,13,,87,21,19,
"Liberatore, Tom",285,65,313,14,12,,135,35,26,
"Hunter, Lachie",326,125,220,10,7,,60,34,9,
"Duryea, Taylor",281,132,156,1,,,48,22,15,
"Treloar, Adam",186,50,209,13,9,,73,11,16,
"Williams, Bailey",247,104,136,1,2,,53,10,12,
"Dunkley, Josh",129,56,220,5,8,,78,15,7,
"English, Tim",164,103,126,19,15,341,63,28,24,
"Naughton, Aaron",186,153,94,47,40,2,39,21,16,
"Keath, Alex",161,110,117,,1,13,43,20,18,
"Johannisen, Jason",152,67,99,15,12,,41,9,7,
"Bruce, Josh",138,100,83,48,21,28,26,13,26,
"Cordy, Zaine",126,67,57,,,5,38,18,12,
"Scott, Anthony",88,33,95,10,8,,35,17,5,
"Wood, Easton",111,70,65,2,,,22,9,12,
"Hannan, Mitch",114,59,53,14,13,6,51,11,8,
"Smith, Roarke",79,29,88,3,4,,34,4,7,
"Weightman, Cody",120,48,40,26,13,,30,25,9,
"Crozier, Hayden",111,59,48,,,,14,6,4,
"Lipinski, Patrick",74,39,79,2,1,,22,2,5,
"McNeil, Lachlan",60,21,51,7,8,,24,7,7,
"Garcia, Riley",57,14,46,4,3,,17,6,8,
"Young, Lewis",47,24,52,1,1,71,14,9,7,
"Vandermeer, Laitham",46,24,50,6,8,,26,6,9,
"Schache, Josh",67,41,27,5,4,5,11,5,6,
"Martin, Stefan",29,11,64,1,,154,17,9,20,
"Richards, Ed",43,16,25,1,,,9,4,5,
"Wallis, Mitch",28,20,33,4,2,,10,5,3,
"Gardner, Ryan",37,20,18,,,,5,5,9,
"Sweet, Jordon",21,12,22,1,2,99,19,8,10,
"McLean, Toby",17,9,25,2,2,,13,3,1,
"Ugle-Hagan, Jamarra",25,14,10,7,2,,8,3,2,
"Khamis, Buku",7,1,4,,,,1,1,2,
"Butler, Louis",6,5,4,,,,2,,1,
"West, Rhylee",6,2,3,,2,,3,,5,
"Jong, Lin",2,2,2,,1,,,,,
"Cavarra, Ben",1,1,,,,,1,1,,
