Team,Player  ,Pos. ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,FANTASY_POINTS
WB,"Schache, Josh",FWD,3.045454545,1.863636364,1.227272727,0.227272727,0.181818182,0.227272727,0.5,0.227272727,0.272727273,
WB,"Martin, Stefan",RUC,1.318181818,0.5,2.909090909,0.045454545,0,7,0.772727273,0.409090909,0.909090909,
WB,"Richards, Ed",MID,1.954545455,0.727272727,1.136363636,0.045454545,0,0,0.409090909,0.181818182,0.227272727,
WB,"Wallis, Mitch",FWD,1.272727273,0.909090909,1.5,0.181818182,0.090909091,0,0.454545455,0.227272727,0.136363636,
WB,"Gardner, Ryan",DEF,1.681818182,0.909090909,0.818181818,0,0,0,0.227272727,0.227272727,0.409090909,
WB,"Sweet, Jordon",RUC,0.954545455,0.545454545,1,0.045454545,0.090909091,4.5,0.863636364,0.363636364,0.454545455,
WB,"McLean, Toby",FWD,0.772727273,0.409090909,1.136363636,0.090909091,0.090909091,0,0.590909091,0.136363636,0.045454545,
WB,"Ugle-Hagan, Jamarra",FWD,1.136363636,0.636363636,0.454545455,0.318181818,0.090909091,0,0.363636364,0.136363636,0.090909091,
,,,,,,,,,,,,
,,,,,,,,,,,,
