PLAYER,K,H,M,T,FF,FA,HO,G,B,GA,D,ED,IED,I50,R50,CL,SP,CP,UCP,CM,FD,CS
Zac Langdon,5,6.3,3.4,2.2,0.4,0.9,0,0.3,0.4,0.5,11.3,8.3,3.1,0.6,0.5,0.1,0.5,4.7,6.9,0.3,-0.5,2.2
Trey Ruscoe,8.1,3.7,3,1.7,0.3,0.8,0,0.2,0,0.2,11.8,8.9,2.9,0.8,2.1,0,0.8,3.2,8.1,0.2,-0.4,1.9
Roarke Smith,5.2,7,2.1,2.7,0.3,0.4,0,0.1,0.2,0.3,12.2,9.6,2.7,1.7,0.6,0.8,1.2,5.6,7.2,0.3,-0.1,0.9
Darcy Fogarty,5.9,2.6,3.3,1.3,1.2,1,0.1,1.5,0.8,0.4,8.6,6.3,2.3,2.1,0,0.3,0.8,4.6,4.4,0.9,0.2,1.8
Oliver Henry,6.1,3,4.4,0.9,0.4,0.1,0,0.7,0.8,0.7,9.1,5.9,3.2,1.3,0.2,0,0.3,2.4,6.6,0.7,0.3,2.6
Stefan Martin,3.1,6.9,1.1,1.4,0.9,1.9,17.6,0.1,0,0.3,10,7.1,2.9,0.4,0,2.9,1.1,7,3.1,0.4,-1,3.1
Louis Butler,6,4,5,2,0,1,0,0,0,0,10,9,1,0,0,1,0,1,9,0,-1,2
Brennan Cox,7.3,4.6,4.7,0.9,0.3,1,0.1,0,0,0.1,11.8,10.7,1.2,0.6,2.8,0.1,8.6,4.7,7.5,1.3,-0.7,1.8
Nathan Murphy,6.8,4.3,3.8,1.2,1.2,0.5,0,0.1,0.2,0,11.1,8.2,2.8,1.4,1.5,0.5,1.4,3.3,7.7,0.2,0.8,1.5
Esava Ratugolea,4.5,3.5,2.3,2,1.2,0.8,6.5,0.8,0.3,0.5,8.1,5.5,2.5,1.6,0.1,1.1,1.3,6.2,2.3,1.2,0.3,1.8
