Playerÿÿ,Games,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Setterfield, Will",8,74,35,50,1,6,,17,6,10,
"Williamson, Tom",11,83,43,41,2,3,,16,2,8,
"De Koning, Tom",13,81,40,42,7,4,219,27,16,15,
"Owies, Matthew",13,69,43,46,15,17,,38,10,7,
"Casboult, Levi",13,77,47,34,8,5,79,25,11,17,
"OBrien, Lochie",5,49,20,31,1,3,,9,4,1,
"McGovern, Mitch",5,42,24,14,6,4,,13,7,,
"Cuningham, David",4,26,9,28,3,2,,6,2,3,
"Curnow, Charlie",4,35,16,14,2,5,,6,1,7,
"Parks, Luke",6,30,12,15,,,,12,5,5,
"Honey, Josh",5,24,13,12,6,3,,6,2,1,
"Kemp, Brodie",2,14,8,5,,,,3,,1,
"McDonald, Oscar",3,8,3,1,2,1,,2,3,1,
"Durdin, Corey",2,4,2,4,1,,,4,1,,
,,4836,2098,2837,250,201,705,1175,447,427,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Crisp, Jack",22,341,148,253,2,5,,80,16,29,
"Sidebottom, Steele",21,272,114,228,8,5,,62,14,24,
"Maynard, Brayden",22,335,121,126,1,,,57,16,26,
"de Goey, Jordan",20,251,108,169,23,23,,39,12,18,
"Pendlebury, Scott",18,197,67,220,4,4,,69,13,10,
"Noble, John",22,260,114,149,2,,,57,23,14,
"Mayne, Chris",17,225,128,179,,,,44,12,9,
"Adams, Taylor",14,195,46,187,2,2,,78,30,16,
"Grundy, Brodie",20,185,72,197,12,6,647,84,31,43,
"Quaynor, Isaac",20,221,95,140,1,2,,45,18,13,
"Daicos, Josh",17,173,48,149,9,9,,53,19,14,
"Hoskin-Elliott, Will",20,213,124,101,13,2,,45,6,14,
"Madgen, Jack",19,159,88,145,1,2,,19,10,6,
"Roughead, Jordan",21,190,137,87,,,9,35,12,14,
"Thomas, Josh",20,148,66,118,12,9,,51,19,7,
"Mihocek, Brody",21,178,123,50,34,34,,35,16,19,
"Moore, Darcy",13,153,107,68,4,1,,12,9,16,
"Cameron, Darcy",18,147,99,72,22,9,121,32,20,15,
"Elliott, Jamie",13,127,61,73,25,8,,32,10,15,
"Brown, Callum",15,66,41,107,3,6,,44,8,5,
"Poulter, Caleb",11,107,55,58,2,5,,22,9,6,
"Bianco, Trent",12,100,53,47,7,5,,21,5,4,
"Murphy, Nathan",15,88,50,56,1,3,,16,16,6,
"Howe, Jeremy",8,98,46,41,1,,,19,6,5,
"Macrae, Finlay",9,45,26,69,1,,,9,2,3,
"Ruscoe, Trey",9,73,27,33,2,,,15,3,7,
"Brown, Tyler",7,35,14,60,,,,11,1,4,
"Henry, Oliver",10,61,44,30,7,8,,9,4,1,
"Sier, Brayden",7,32,16,54,1,,,19,3,,
"McCreery, Beau",13,52,24,30,11,6,,43,3,13,
"Cox, Mason",7,41,26,25,8,8,23,7,11,5,
"Keane, Mark",4,31,23,25,,1,,1,,7,
"Wilson, Tom",4,25,7,23,,,,7,1,5,
"Ginnivan, Jack",5,38,18,7,6,3,,4,6,3,
"Rantall, Jay",5,10,10,19,,,,3,1,2,
"Greenwood, Levi",2,16,3,9,,,,7,,4,
"Lynch, Max",2,9,4,14,,,41,5,1,2,
"Kelly, Will",2,6,4,5,,,,,2,,
"Tohill, Anton",1,4,3,5,,,,,1,1,
,,4907,2360,3428,225,166,841,1191,389,405,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Merrett, Zach",23,361,97,364,4,7,,112,41,26,
"Parish, Darcy",23,341,96,360,10,8,,90,13,10,
"Hind, Nick",22,365,114,127,4,2,,45,19,19,
"Heppell, Dyson",19,276,132,194,2,1,,47,15,12,
"Ridley, Jordan",22,340,131,124,,,,29,16,13,
"Redman, Mason",22,245,101,142,6,2,,44,11,17,
"Langford, Kyle",17,202,98,152,13,3,2,57,11,18,
"Snelling, Will",20,155,74,199,12,7,,99,21,9,
"McGrath, Andrew",15,171,43,167,2,4,,66,17,11,
"Laverde, Jayden",23,202,134,116,1,,,35,17,25,
"Stringer, Jake",19,210,55,102,41,18,,76,30,23,
"Smith, Devon",20,155,68,128,16,19,,78,11,23,
"Cox, Nik",22,152,81,107,9,9,12,47,16,23,
"Wright, Peter",21,146,90,100,29,14,208,37,31,23,
"Perkins, Archie",21,116,58,122,9,14,,42,13,13,
"Guelfi, Matt",20,124,74,112,6,4,,54,11,19,
"Ham, Brayden",19,118,57,109,5,10,,30,5,9,
"Stewart, James",17,136,89,77,,,,19,7,22,
"Hooker, Cale",18,106,65,100,33,24,10,27,12,18,
"McDonald-Tipungwuti, Anthony",20,129,49,72,34,14,,56,16,18,
"Cutler, Tom",13,113,51,65,1,4,,16,5,2,
"Francis, Aaron",15,99,70,70,2,6,1,17,15,12,
"Shiel, Dylan",8,74,16,81,3,4,,24,3,8,
"Waterman, Alec",14,82,43,60,17,8,,28,8,6,
"Draper, Sam",13,85,31,46,2,5,316,23,16,24,
"Jones, Harry",16,77,57,40,20,6,4,21,7,6,
"Durham, Sam",7,47,31,52,1,2,,9,4,1,
"Zaharakis, David",9,51,21,30,2,2,,16,,4,
"Phillips, Andrew",6,32,24,30,4,1,123,23,8,8,
"Clarke, Dylan",4,25,17,36,2,,,9,4,5,
"Gleeson, Martin",6,33,21,27,,,,11,2,2,
"Zerk-Thatcher, Brandon",6,36,22,24,,,1,11,3,6,
"Caldwell, Jye",3,27,8,19,,1,,16,6,,
"Cahill, Ned",3,9,3,13,1,,,3,,2,
"Bryan, Nick",1,5,3,7,,,18,3,1,1,
"Reid, Zach",1,5,1,5,,,,5,3,,
"Ambrose, Patrick",1,1,,4,,1,,2,1,,
,,4851,2125,3583,291,200,695,1327,419,438,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Brayshaw, Andrew",20,265,101,303,8,5,,93,25,23,
"Mundy, David",22,248,68,305,15,7,,87,18,21,
"Serong, Caleb",22,279,64,224,8,10,,72,23,12,
"Cerra, Adam",18,250,93,165,5,10,,47,21,12,
"Aish, James",22,236,92,178,1,8,,49,13,13,
"Ryan, Luke",19,332,136,82,,,,34,14,19,
"Fyfe, Nat",15,154,58,207,6,21,,61,18,36,
"Darcy, Sean",21,156,90,193,12,12,599,64,22,38,
"Acres, Blake",18,184,67,138,2,,10,45,12,18,
"Wilson, Nathan",18,233,74,71,,4,,18,12,13,
"Colyer, Travis",22,195,75,83,15,19,,44,6,9,
"Tucker, Darcy",16,152,64,120,,2,,29,10,12,
"Walters, Michael",16,147,63,76,14,11,,33,21,14,
"Schultz, Lachie",20,148,80,72,22,17,,54,20,18,
"Logue, Griffin",16,113,76,71,,,,22,13,12,
"Taberner, Matthew",16,135,89,42,37,17,,10,16,17,
"Lobb, Rory",13,108,73,60,20,19,54,15,13,5,
"Crowden, Mitch",16,70,34,97,5,7,,29,8,4,
"Henry, Liam",17,106,37,47,10,9,,18,13,10,
"Switkowski, Sam",12,79,36,67,9,9,,32,7,4,
"Cox, Brennan",12,87,56,55,,,1,11,4,12,
"Hughes, Ethan",8,75,29,64,,1,,12,6,5,
"Conca, Reece",10,68,35,67,,,,18,5,10,
"Young, Hayden",8,85,45,42,,,,19,7,3,
"Watson, Tobe",11,73,51,51,1,,,12,5,4,
"Blakely, Connor",13,50,30,66,1,2,,11,8,5,
"Treacy, Josh",15,70,51,45,13,10,7,31,11,14,
"Walker, Brandon",10,72,36,32,,3,,17,1,4,
"Pearce, Alex",10,56,27,40,,1,1,10,12,5,
"Duman, Taylin",6,49,28,42,,,,12,1,3,
"Chapman, Heath",6,50,27,35,1,,,10,3,6,
"Meek, Lloyd",9,21,12,58,1,2,129,14,7,14,
"Bewley, Brett",6,43,16,32,2,,,12,5,3,
"Frederick, Michael",7,52,35,16,5,11,,7,5,1,
"Banfield, Bailey",6,29,12,27,4,2,,14,3,6,
"Giro, Stefan",4,31,13,12,1,,,3,2,1,
"Western, Joel",4,14,5,11,,,,6,1,1,
"Hamling, Joel",1,3,,7,,,2,1,3,,
"Sturt, Sam",1,3,2,2,1,1,,,,,
,,4521,1980,3305,219,220,803,1076,394,407,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Guthrie, Cameron",23,342,129,325,4,8,,92,19,16,
"Selwood, Joel",24,278,77,274,6,4,,113,54,28,
"Smith, Isaac",24,383,166,167,15,9,,38,8,10,
"Menegola, Sam",23,324,125,209,12,12,,52,11,24,
"Tuohy, Zach",21,326,112,155,11,8,,26,9,17,
"Stewart, Tom",20,378,178,102,,3,,21,16,13,
"Parfitt, Brandan",23,225,32,207,8,7,,128,35,29,
