Sebastian Ross,STK,MID,79.8,128
Jed Anderson,NTH,MID/FWD,79.7,129
Brodie Smith,ADE,DEF,79.6,130
Jack Sinclair,STK,DEF,79.3,131
Daniel Howe,HAW,MID,79.1,132
Shaun Higgins,GEE,FWD,78.9,133
James Worpel,HAW,MID,78.8,134
Liam Duggan,WCE,DEF/MID,78.5,135
Jack Graham,RIC,MID/FWD,78.4,136
Will Snelling,ESS,FWD,78.2,137
Lachie Ash,GWS,DEF/MID,77.8,138
Shai Bolton,RIC,MID/FWD,77.7,139
Rhys Stanley,GEE,RUC,77.6,140
Kane Lambert,RIC,FWD,77.2,141
Tim Membrey,STK,FWD,77.2,142
Mitch Robinson,BRL,MID,76.9,143
Darcy Byrne-Jones,PTA,DEF,76.7,144
Oscar McInerney,BRL,RUC,76.7,145
Brandan Parfitt,GEE,MID,76.6,146
Jye Caldwell,ESS,MID,76.5,147
Jonathon Ceglar,GEE,RUC,76.4,148
Josh Caddy,RIC,MID,76.3,149
Isaac Heeney,SYD,FWD,76.2,150
Zak Butters,PTA,FWD,76.2,151
Nick Vlastuin,RIC,DEF,76.1,152
Trent Cotchin,RIC,MID,75.8,153
James Rowbottom,SYD,MID,75.6,154
Tom Hawkins,GEE,FWD,75.6,155
Andrew Phillips,ESS,RUC,75.5,156
Willem Drew,PTA,MID,75.5,157
Taylor Walker,ADE,FWD,75.4,158
Paddy Ryder,STK,RUC,74.8,159
John Noble,COL,DEF,74.6,160
Tom McDonald,MEL,FWD,74.5,161
Jamie Elliott,COL,FWD,73.9,162
Jacob Weitering,CAR,DEF,73.8,163
Kieran Strachan,ADE,RUC,73.5,164
Jeremy Howe,COL,DEF,73.4,165
Ryan Burton,PTA,DEF,73.4,166
Darcy Moore,COL,DEF,73.1,167
Tom Phillips,HAW,MID,73.1,168
Jade Gresham,STK,MID/FWD,73,169
Oskar Baker,MEL,MID,73,170
Liam Baker,RIC,DEF,72.8,171
Peter Ladhams,SYD,RUC/FWD,72.7,172
Zac Bailey,BRL,MID/FWD,72.7,173
Errol Gulden,SYD,FWD,72.6,174
Hunter Clark,STK,DEF/MID,72.6,175
Oliver Florent,SYD,MID,72.6,176
Robbie Gray,PTA,FWD,72.6,177
Steven May,MEL,DEF,72.6,178
Oleg Markov,GCS,DEF,72.5,179
Changkuoth Jiath,HAW,DEF,72.3,180
Wil Powell,GCS,DEF,72.3,181
Joe Daniher,BRL,FWD,72.2,182
Xavier Duursma,PTA,MID,72.1,183
Jeremy McGovern,WCE,DEF,72,184
Mark Blicavs,GEE,DEF,71.9,185
Will Hoskin-Elliott,COL,MID,71.9,186
Tom Green,GWS,MID,71.8,187
Josh Rotham,WCE,DEF,71.6,188
Taylor Duryea,WBD,DEF,71.5,189
Zac Williams,CAR,DEF,71.5,190
Josh Daicos,COL,MID,71.4,191
Trent McKenzie,PTA,DEF,71.4,192
Brad Sheppard,WCE,DEF,71.3,193
Bradley Hill,STK,DEF,71.2,194
Alex Neal-Bullen,MEL,FWD,71,195
Jamie Cripps,WCE,FWD,71,196
Jeremy Sharp,GCS,MID,71,197
Rory Lobb,FRE,FWD,70.5,198
Dylan Moore,HAW,FWD,70.4,199
Lachlan Bramble,HAW,DEF,70.4,200
Lance Franklin,SYD,FWD,70.4,201
Matt Flynn,GWS,RUC,70.4,202
Nick Haynes,GWS,DEF,70.3,203
Trent Dumont,PTA,MID,70.3,204
Dane Rampe,SYD,DEF,70.2,205
Harry McKay,CAR,FWD,70.2,206
Marc Pittonet,CAR,RUC,70.1,207
James Jordon,MEL,MID,70,208
Mitch Brown,MEL,FWD,70,209
Adam Saad,CAR,DEF,69.9,210
Isaac Quaynor,COL,DEF,69.9,211
Jesse Hogan,GWS,FWD,69.8,212
Jack Darling,WCE,FWD,69.6,213
Tom Atkins,GEE,DEF,69.6,214
Ben Ainsworth,GCS,FWD,69.5,215
James Aish,FRE,DEF,69.5,216
Justin McInerney,SYD,DEF/MID,69.5,217
Harry Schoenberg,ADE,MID,69.4,218
Darcy Cameron,COL,FWD,69.3,219
Peter Wright,ESS,RUC/FWD,69.3,220
Chad Warner,SYD,MID,69.1,221
Jack Higgins,STK,FWD,69.1,222
Ned Reeves,HAW,RUC,69,223
Hayden Young,FRE,DEF,68.9,224
Callum Sinclair,SYD,RUC/FWD,68.8,225
Harry Cunningham,SYD,DEF,68.8,226
Will Day,HAW,DEF,68.8,227
Riley Bonner,PTA,DEF/MID,68.7,228
Tom Powell,NTH,MID/FWD,68.5,229
Charlie Dixon,PTA,FWD,68.4,230
Steven Motlop,PTA,FWD,68.2,231
Luke McDonald,NTH,MID,68.1,232
Connor Rozee,PTA,FWD,67.6,233
Mason Redman,ESS,DEF,67.6,234
Nathan Broad,RIC,DEF,67.6,235
Sydney Stack,RIC,DEF,67.6,236
Harris Andrews,BRL,DEF,67.5,237
Bailey Williams,WBD,DEF,67.4,238
Cooper Sharman,STK,FWD,67.3,239
Lachlan Sholl,ADE,MID,67.3,240
Lachie Fogarty,CAR,FWD,67.2,241
Nick Bryan,ESS,RUC,67,242
Harry Morrison,HAW,MID/FWD,66.9,243
Aaron Naughton,WBD,FWD,66.8,244
Angus Brayshaw,MEL,MID,66.5,245
Aliir Aliir,PTA,DEF,66.3,246
Blake Acres,FRE,MID,66.1,247
Jake Waterman,WCE,FWD,66.1,248
Jack Henry,GEE,DEF,66,249
Darcy MacPherson,GCS,FWD,65.8,250
Jack Newnes,CAR,MID,65.7,251
Daniel Lloyd,GWS,FWD,65.6,252
Dean Kent,STK,FWD,65.6,253
Hayden Crozier,WBD,DEF,65.6,254
Sam Taylor,GWS,DEF,65.6,255
Jeremy Cameron,GEE,FWD,65.4,256
Daniel McStay,BRL,FWD,65.3,257
Nick Holman,GCS,FWD,65.3,258
Mitch McGovern,CAR,FWD,65,259
Patrick Lipinski,COL,MID,65,260
Shane Edwards,RIC,MID,65,261
Tom Papley,SYD,FWD,65,262
Devon Smith,ESS,FWD,64.7,263
Toby McLean,WBD,FWD,64.7,264
Gryan Miers,GEE,FWD,64.6,265
Kieren Briggs,GWS,RUC,64.6,266
Aidan Corr,NTH,DEF,64.5,267
Orazio Fantasia,PTA,FWD,64.5,268
Miles Bergman,PTA,MID,64.4,269
Jack Riewoldt,RIC,FWD,64.3,270
Kysaiah Pickett,MEL,FWD,64.3,271
Lincoln McCarthy,BRL,FWD,64.2,272
Sam Reid,SYD,FWD,64.2,273
Tom Doedee,ADE,DEF,64.1,274
George Hewett,CAR,DEF/MID,64,275
Mason Wood,STK,FWD,63.9,276
Brody Mihocek,COL,FWD,63.8,277
Sam Powell-Pepper,PTA,MID/FWD,63.7,278
Harry Himmelberg,GWS,FWD,63.6,279
Jack Silvagni,CAR,FWD,63.6,280
Jake Kelly,ESS,DEF,63.6,281
Caleb Poulter,COL,MID,63.5,282
Matthew Parker,RIC,FWD,63.2,283
Callum Wilkie,STK,DEF,63.1,284
Dylan Shiel,ESS,MID,63.1,285
Jake Lever,MEL,DEF,63.1,286
Alex Davies,GCS,MID,63,287
Lochie O'Brien,CAR,MID,63,288
Ryan Byrnes,STK,MID/FWD,63,289
Josh Bruce,WBD,FWD,62.9,290
Jack Martin,CAR,FWD,62.8,291
Matt Taberner,FRE,FWD,62.5,292
Tom Barrass,WCE,DEF,62.4,293
Charlie Cameron,BRL,FWD,62.3,294
Will Hayward,SYD,FWD,62.3,295
Tom Cutler,ESS,DEF,62.1,296
Luke Jackson,MEL,RUC/FWD,62,297
Cameron Zurhaar,NTH,FWD,61.9,298
Deven Robertson,BRL,MID,61.9,299
Tom J. Lynch,RIC,FWD,61.9,300
Jimmy Webster,STK,DEF,61.8,301
Charlie Ballard,GCS,DEF,61.7,302
Jarrod Brander,GWS,MID,61.7,303
Josh Battle,STK,FWD,61.6,304
Nathan Wilson,FRE,DEF,61.6,305
Bayley Fritsch,MEL,FWD,61.5,306
Kamdyn McIntosh,RIC,MID,61.5,307
Max Lynch,HAW,RUC,61.5,308
Michael Walters,FRE,FWD,61.5,309
Darcy Tucker,FRE,DEF,61.3,310
Jack Madgen,COL,DEF,61.3,311
Marcus Adams,BRL,DEF,61.3,312
