Team,Player,Pos,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
CARL,"Fogarty, Lachie",FWD,139,57,107,6,6,0,62,16,11,
CARL,"Dow, Paddy",MID,95,28,147,4,2,0,39,9,13,
CARL,"Kennedy, Matthew",FWD,138,60,101,6,2,0,54,11,10,
CARL,"Stocker, Liam",DEF,163,58,75,2,1,0,37,15,10,
CARL,"Plowman, Lachie",DEF,160,85,59,1,0,0,20,14,13,
CARL,"Silvagni, Jack",FWD,130,70,70,9,13,17,38,14,12,
CARL,"Petrevski-Seton, Sam",DEF,134,56,64,1,3,0,26,7,7,
CARL,"McKay, Harry",FWD,154,113,31,58,33,6,27,27,18,
CARL,"Cottrell, Matthew",MID,118,37,47,3,2,0,31,5,9,
CARL,"Fisher, Zac",FWD,85,23,74,4,8,0,24,5,9,
CARL,"Gibbons, Michael",FWD,98,39,58,8,5,0,27,6,6,
CARL,"Pittonet, Marc",RUC,67,26,80,5,5,379,28,17,24,
CARL,"Martin, Jack",FWD,94,61,46,8,6,0,26,9,11,
CARL,"Setterfield, Will",MID,74,35,50,1,6,0,17,6,10,
CARL,"Williamson, Tom",MID,83,43,41,2,3,0,16,2,8,
CARL,"De Koning, Tom",RUC,81,40,42,7,4,219,27,16,15,
CARL,"Owies, Matthew",FWD,69,43,46,15,17,0,38,10,7,
CARL,"OBrien, Lochie",MID,49,20,31,1,3,0,9,4,1,
CARL,"McGovern, Mitch",FWD,42,24,14,6,4,0,13,7,0,
CARL,"Cuningham, David",MID,26,9,28,3,2,0,6,2,3,
CARL,"Curnow, Charlie",FWD,35,16,14,2,5,0,6,1,7,
COLL,"Crisp, Jack",DEF,341,148,253,2,5,0,80,16,29,
COLL,"Sidebottom, Steele",FWD,272,114,228,8,5,0,62,14,24,
COLL,"Maynard, Brayden",DEF,335,121,126,1,0,0,57,16,26,
COLL,"de Goey, Jordan",FWD,251,108,169,23,23,0,39,12,18,
COLL,"Pendlebury, Scott",DEF,197,67,220,4,4,0,69,13,10,
COLL,"Noble, John",DEF,260,114,149,2,0,0,57,23,14,
COLL,"Adams, Taylor",MID,195,46,187,2,2,0,78,30,16,
COLL,"Grundy, Brodie",RUC,185,72,197,12,6,647,84,31,43,
COLL,"Quaynor, Isaac",DEF,221,95,140,1,2,0,45,18,13,
COLL,"Daicos, Josh",MID,173,48,149,9,9,0,53,19,14,
COLL,"Hoskin-Elliott, Will",MID,213,124,101,13,2,0,45,6,14,
COLL,"Madgen, Jack",DEF,159,88,145,1,2,0,19,10,6,
COLL,"Roughead, Jordan",DEF,190,137,87,0,0,9,35,12,14,
COLL,"Mihocek, Brody",FWD,178,123,50,34,34,0,35,16,19,
COLL,"Moore, Darcy",DEF,153,107,68,4,1,0,12,9,16,
COLL,"Cameron, Darcy",RUC,147,99,72,22,9,121,32,20,15,
COLL,"Elliott, Jamie",FWD,127,61,73,25,8,0,32,10,15,
COLL,"Brown, Callum",MID,66,41,107,3,6,0,44,8,5,
COLL,"Poulter, Caleb",MID,107,55,58,2,5,0,22,9,6,
COLL,"Bianco, Trent",MID,100,53,47,7,5,0,21,5,4,
COLL,"Murphy, Nathan",MID,88,50,56,1,3,0,16,16,6,
COLL,"Howe, Jeremy",DEF,98,46,41,1,0,0,19,6,5,
COLL,"Macrae, Finlay",MID,45,26,69,1,0,0,9,2,3,
COLL,"Ruscoe, Trey",DEF,73,27,33,2,0,0,15,3,7,
COLL,"Brown, Tyler",MID,35,14,60,0,0,0,11,1,4,
COLL,"Henry, Oliver",FWD,61,44,30,7,8,0,9,4,1,
COLL,"Sier, Brayden",MID,32,16,54,1,0,0,19,3,0,
ESSE,"Merrett, Zach",MID,361,97,364,4,7,0,112,41,26,
ESSE,"Parish, Darcy",MID,341,96,360,10,8,0,90,13,10,
ESSE,"Hind, Nick",DEF,365,114,127,4,2,0,45,19,19,
ESSE,"Heppell, Dyson",DEF,276,132,194,2,1,0,47,15,12,
ESSE,"Ridley, Jordan",DEF,340,131,124,0,0,0,29,16,13,
ESSE,"Redman, Mason",DEF,245,101,142,6,2,0,44,11,17,
ESSE,"Langford, Kyle",FWD,202,98,152,13,3,2,57,11,18,
ESSE,"Snelling, Will",FWD,155,74,199,12,7,0,99,21,9,
ESSE,"McGrath, Andrew",MID,171,43,167,2,4,0,66,17,11,
ESSE,"Laverde, Jayden",DEF,202,134,116,1,0,0,35,17,25,
ESSE,"Stringer, Jake",FWD,210,55,102,41,18,0,76,30,23,
ESSE,"Smith, Devon",FWD,155,68,128,16,19,0,78,11,23,
ESSE,"Cox, Nik",MID,152,81,107,9,9,12,47,16,23,
ESSE,"Wright, Peter",FWD,146,90,100,29,14,208,37,31,23,
ESSE,"Perkins, Archie",FWD,116,58,122,9,14,0,42,13,13,
ESSE,"Guelfi, Matt",MID,124,74,112,6,4,0,54,11,19,
ESSE,"Ham, Brayden",FWD,118,57,109,5,10,0,30,5,9,
ESSE,"Stewart, James",DEF,136,89,77,0,0,0,19,7,22,
ESSE,"McDonald-Tipungwuti, Anthony",FWD,129,49,72,34,14,0,56,16,18,
ESSE,"Cutler, Tom",FWD,113,51,65,1,4,0,16,5,2,
ESSE,"Francis, Aaron",DEF,99,70,70,2,6,1,17,15,12,
ESSE,"Shiel, Dylan",MID,74,16,81,3,4,0,24,3,8,
ESSE,"Waterman, Alec",FWD,82,43,60,17,8,0,28,8,6,
